date,open,high,low,close,volume,average,barCount
2022-12-08 10:00:00,155.28,155.45,155.15,155.45,13.67,155.286,4
2022-12-08 10:00:30,155.45,155.45,155.45,155.45,2.82,155.45,2
2022-12-08 10:01:30,155.51,155.51,155.5,155.5,13.1,155.503,8
2022-12-08 10:02:30,155.7,155.85,155.7,155.7,16.88,155.719,6
2022-12-08 10:03:00,155.76,155.81,155.76,155.81,11.95,155.793,5
2022-12-08 10:03:30,155.79,155.79,155.79,155.79,6.06,155.79,4
2022-12-08 10:04:00,155.78,155.79,155.78,155.79,6.5,155.783,4
2022-12-08 10:04:30,155.79,155.8,155.78,155.79,22.0,155.79,9
2022-12-08 10:05:00,155.8,155.8,155.8,155.8,1.99,155.8,1
2022-12-08 10:06:30,155.9,155.9,155.9,155.9,2.68,155.9,1
2022-12-08 10:08:30,155.6,155.6,155.6,155.6,7.25,155.6,2
2022-12-08 10:09:00,155.59,155.6,155.59,155.6,24.41,155.597,13
2022-12-08 10:09:30,155.6,155.6,155.59,155.59,10.18,155.596,7
2022-12-08 10:10:30,155.69,155.7,155.69,155.7,6.1,155.693,6
2022-12-08 10:11:00,155.65,155.65,155.65,155.65,2.02,155.65,1
2022-12-08 10:11:30,155.62,155.62,155.56,155.56,30.97,155.589,11
2022-12-08 10:13:30,155.58,155.6,155.54,155.6,26.36,155.591,9
2022-12-08 10:14:30,155.55,155.55,155.5,155.5,11.14,155.519,4
2022-12-08 10:15:00,155.48,155.48,155.48,155.48,3.52,155.48,1
2022-12-08 10:15:30,155.5,155.5,155.5,155.5,1.0,155.5,1
2022-12-08 10:16:30,155.55,155.56,155.55,155.56,5.0,155.554,2
2022-12-08 10:17:30,155.56,155.7,155.54,155.7,9.7,155.634,5
2022-12-08 10:19:00,155.6,155.6,155.6,155.6,2.0,155.6,1
2022-12-08 10:22:30,155.68,155.68,155.68,155.68,1.0,155.68,1
2022-12-08 10:24:00,155.68,155.74,155.68,155.71,5.21,155.714,4
2022-12-08 10:25:00,155.7,155.74,155.7,155.74,3.0,155.715,2
2022-12-08 10:25:30,155.74,155.74,155.74,155.74,2.1,155.74,2
2022-12-08 10:26:30,155.71,155.75,155.71,155.75,2.82,155.724,2
2022-12-08 10:27:00,155.75,155.8,155.75,155.8,11.3,155.787,5
2022-12-08 10:27:30,155.79,155.8,155.75,155.8,20.92,155.794,6
2022-12-08 10:28:30,155.77,155.77,155.7,155.7,53.65,155.746,15
2022-12-08 10:29:00,155.74,155.74,155.74,155.74,4.43,155.74,2
2022-12-08 10:29:30,155.8,155.8,155.75,155.8,79.03,155.799,22
2022-12-08 10:30:00,155.8,155.92,155.8,155.92,71.0,155.818,24
2022-12-08 10:30:30,155.89,155.92,155.89,155.92,8.5,155.908,4
2022-12-08 10:33:00,155.89,155.89,155.81,155.81,7.36,155.877,3
2022-12-08 10:36:30,155.88,155.88,155.88,155.88,2.64,155.88,2
2022-12-08 10:37:30,155.86,155.86,155.86,155.86,1.0,155.86,1
2022-12-08 10:39:00,155.9,155.96,155.9,155.96,5.4,155.939,2
2022-12-08 10:40:00,155.9,155.9,155.9,155.9,1.82,155.9,1
2022-12-08 10:40:30,155.9,155.9,155.88,155.88,7.09,155.894,4
2022-12-08 10:41:30,155.95,155.95,155.95,155.95,11.59,155.95,3
2022-12-08 10:42:00,155.95,156.0,155.95,156.0,20.83,155.97,6
2022-12-08 10:44:00,156.06,156.06,156.06,156.06,1.89,156.06,1
2022-12-08 10:45:30,155.95,156.0,155.95,156.0,9.84,155.983,7
2022-12-08 10:46:00,156.01,156.05,156.0,156.05,12.07,156.029,5
2022-12-08 10:49:30,155.99,155.99,155.99,155.99,1.0,155.99,1
2022-12-08 10:50:00,155.98,156.0,155.98,156.0,11.4,155.996,4
2022-12-08 10:51:00,155.98,155.99,155.97,155.97,7.34,155.979,4
2022-12-08 10:51:30,155.98,155.98,155.98,155.98,1.92,155.98,1
2022-12-08 10:52:00,155.98,156.07,155.98,156.07,19.17,156.049,8
2022-12-08 10:52:30,156.1,156.1,156.03,156.03,3.92,156.066,2
2022-12-08 10:53:00,156.02,156.05,156.02,156.05,2.88,156.03,2
2022-12-08 10:53:30,156.03,156.03,156.03,156.03,1.0,156.03,1
2022-12-08 10:54:00,156.05,156.09,156.05,156.09,2.95,156.064,2
2022-12-08 10:54:30,156.1,156.1,156.05,156.07,25.21,156.063,7
2022-12-08 10:55:30,156.16,156.16,156.15,156.15,5.93,156.152,3
2022-12-08 10:56:00,156.15,156.19,156.15,156.15,25.56,156.152,10
2022-12-08 10:56:30,156.15,156.2,156.15,156.2,5.82,156.179,4
2022-12-08 10:57:00,156.19,156.21,156.19,156.21,10.12,156.2,5
2022-12-08 10:57:30,156.24,156.35,156.24,156.35,3.51,156.29,2
2022-12-08 10:58:00,156.25,156.25,156.25,156.25,4.22,156.25,1
2022-12-08 10:58:30,156.32,156.36,156.27,156.27,4.94,156.323,3
2022-12-08 10:59:00,156.2,156.29,156.2,156.27,8.51,156.266,3
2022-12-08 10:59:30,156.27,156.27,156.22,156.22,20.56,156.232,7
2022-12-08 11:00:00,156.22,156.29,156.22,156.22,12.96,156.246,5
2022-12-08 11:00:30,156.23,156.25,156.23,156.25,3.69,156.24,2
2022-12-08 11:01:00,156.24,156.28,156.23,156.25,13.29,156.247,9
2022-12-08 11:01:30,156.23,156.25,156.23,156.25,2.0,156.24,2
2022-12-08 11:03:30,156.25,156.25,156.22,156.22,3.11,156.234,2
2022-12-08 11:04:00,156.25,156.25,156.24,156.24,2.92,156.243,2
2022-12-08 11:04:30,156.32,156.32,156.32,156.32,1.91,156.32,1
2022-12-08 11:06:00,156.25,156.25,156.22,156.22,23.45,156.246,5
2022-12-08 11:06:30,156.22,156.22,156.2,156.22,18.36,156.212,9
2022-12-08 11:07:00,156.2,156.21,156.2,156.21,4.79,156.207,3
2022-12-08 11:07:30,156.22,156.22,156.22,156.22,1.0,156.22,1
2022-12-08 11:10:00,156.22,156.3,156.22,156.3,3.46,156.264,2
2022-12-08 11:11:30,156.32,156.32,156.32,156.32,1.0,156.32,1
2022-12-08 11:12:30,156.32,156.32,156.32,156.32,1.0,156.32,1
2022-12-08 11:14:30,156.32,156.32,156.32,156.32,1.49,156.32,1
2022-12-08 11:16:00,156.25,156.25,156.25,156.25,22.56,156.25,5
2022-12-08 11:16:30,156.25,156.25,156.25,156.25,2.96,156.25,1
2022-12-08 11:17:30,156.12,156.12,156.12,156.12,3.49,156.12,1
2022-12-08 11:19:30,156.26,156.26,156.26,156.26,4.0,156.26,1
2022-12-08 11:22:30,156.25,156.25,156.25,156.25,2.0,156.25,1
2022-12-08 11:23:00,156.25,156.4,156.25,156.4,29.44,156.39,11
2022-12-08 11:23:30,156.4,156.4,156.4,156.4,13.41,156.4,1
2022-12-08 11:24:30,156.3,156.3,156.3,156.3,1.17,156.3,1
2022-12-08 11:25:30,156.25,156.25,156.25,156.25,1.49,156.25,1
2022-12-08 11:26:30,156.25,156.25,156.25,156.25,1.0,156.25,1
2022-12-08 11:29:30,156.26,156.26,156.26,156.26,1.72,156.26,1
2022-12-08 11:31:00,156.3,156.3,156.3,156.3,1.0,156.3,1
2022-12-08 11:31:30,156.3,156.3,156.3,156.3,2.0,156.3,2
2022-12-08 11:32:00,156.3,156.3,156.3,156.3,2.0,156.3,2
2022-12-08 11:32:30,156.3,156.3,156.3,156.3,1.0,156.3,1
2022-12-08 11:33:00,156.3,156.3,156.3,156.3,2.0,156.3,2
2022-12-08 11:33:30,156.34,156.34,156.34,156.34,7.0,156.34,4
2022-12-08 11:34:00,156.31,156.31,156.3,156.3,7.87,156.303,3
2022-12-08 11:41:00,156.42,156.43,156.42,156.43,7.8,156.427,5
2022-12-08 11:46:30,156.44,156.44,156.44,156.44,6.66,156.44,2
2022-12-08 11:47:30,156.45,156.45,156.45,156.45,2.42,156.45,1
2022-12-08 11:48:00,156.51,156.89,156.48,156.48,61.72,156.656,17
2022-12-08 11:48:30,156.48,156.49,156.48,156.49,6.33,156.485,2
2022-12-08 11:49:30,156.45,156.45,156.45,156.45,1.0,156.45,1
2022-12-08 11:50:30,156.46,156.46,156.46,156.46,2.02,156.46,2
2022-12-08 11:58:00,156.53,156.53,156.53,156.53,2.41,156.53,2
2022-12-08 11:58:30,156.53,156.53,156.53,156.53,10.0,156.53,2
2022-12-08 11:59:00,156.48,156.48,156.48,156.48,1.0,156.48,1
2022-12-08 12:04:00,156.44,156.44,156.39,156.39,4.9,156.417,3
2022-12-08 12:07:00,156.2,156.2,156.18,156.18,3.41,156.186,2
2022-12-08 12:07:30,156.18,156.18,156.18,156.18,11.86,156.18,2
2022-12-08 12:08:00,156.18,156.18,156.17,156.17,27.53,156.179,7
2022-12-08 12:08:30,156.17,156.17,156.17,156.17,18.13,156.17,3
2022-12-08 12:09:00,156.17,156.17,156.17,156.17,16.95,156.17,3
2022-12-08 12:09:30,156.14,156.14,156.12,156.12,45.45,156.129,4
2022-12-08 12:10:30,156.13,156.13,156.12,156.12,36.55,156.121,3
2022-12-08 12:11:00,156.12,156.12,156.11,156.12,13.56,156.119,3
2022-12-08 12:12:00,156.19,156.19,156.19,156.19,1.0,156.19,1
2022-12-08 12:17:30,156.35,156.35,156.35,156.35,2.98,156.35,1
2022-12-08 12:27:00,156.26,156.33,156.26,156.33,3.91,156.307,3
2022-12-08 12:28:00,156.33,156.33,156.33,156.33,6.61,156.33,3
2022-12-08 12:28:30,156.35,156.35,156.33,156.35,4.9,156.342,3
2022-12-08 12:31:30,156.45,156.49,156.45,156.49,8.0,156.468,4
2022-12-08 12:32:00,156.49,156.64,156.49,156.55,9.16,156.545,6
2022-12-08 12:32:30,156.55,156.55,156.55,156.55,7.21,156.55,2
2022-12-08 12:33:00,156.55,156.72,156.55,156.72,7.33,156.638,5
2022-12-08 12:34:00,156.51,156.51,156.45,156.45,15.6,156.467,10
2022-12-08 12:35:00,156.53,156.59,156.53,156.53,3.0,156.55,3
